Format Version,1.23,Take Name,Take 2023-06-26 02.51.41 PM,Take Notes,,Capture Frame Rate,500.000000,Export Frame Rate,500.000000,Capture Start Time,2023-06-26 02.51.41.822 PM,Capture Start Frame,1562457,Total Frames in Take,4599,Total Exported Frames,4599,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1557,Unlabeled 1557,Unlabeled 1557,Unlabeled 1558,Unlabeled 1558,Unlabeled 1558,Unlabeled 1559,Unlabeled 1559,Unlabeled 1559
,ID,"64A549E3878145B11EE","64A549E3878145B11EE","64A549E3878145B11EE","64B549E3878145B11EE","64B549E3878145B11EE","64B549E3878145B11EE","64C549E3878145B11EE","64C549E3878145B11EE","64C549E3878145B11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
72,0.144000,28.113798,-101.135445,157.578461,24.132597,267.082031,280.995148,35.110142,10.321144,286.850250
73,0.146000,28.117178,-101.135338,157.575607,24.135651,267.081146,280.998535,35.103798,10.317590,286.846680
74,0.148000,28.113903,-101.133537,157.578934,24.131948,267.081879,280.998383,35.105759,10.318763,286.849304
75,0.150000,28.115557,-101.136177,157.582855,24.133926,267.082153,280.996735,35.107330,10.315545,286.855499
76,0.152000,28.117121,-101.136642,157.582642,24.135189,267.078918,280.991455,35.106304,10.315239,286.849457
77,0.154000,28.114468,-101.134834,157.582108,24.132105,267.082367,280.994598,35.104862,10.313924,286.854645
78,0.156000,28.111279,-101.133965,157.581345,24.133759,267.085297,280.995331,35.106083,10.317650,286.852417
79,0.158000,28.115370,-101.136284,157.577820,24.127350,267.083832,280.996429,35.110428,10.318695,286.846741
80,0.160000,28.117121,-101.133850,157.579086,24.132982,267.082672,280.994232,35.102146,10.321518,286.848175
81,0.162000,28.118113,-101.135124,157.578247,24.134026,267.080536,280.995575,35.103313,10.319058,286.852081
82,0.164000,28.115015,-101.133781,157.575317,24.131418,267.082123,280.994324,35.096329,10.317364,286.852997
83,0.166000,28.114468,-101.135277,157.580383,24.134846,267.080353,280.995270,35.102066,10.318347,286.852234
84,0.168000,28.115942,-101.136627,157.577621,24.131302,267.083130,280.997589,35.104355,10.320598,286.853455
85,0.170000,28.117653,-101.135223,157.577301,24.130991,267.082336,280.995789,35.098549,10.320968,286.851776
86,0.172000,28.116270,-101.132393,157.577225,24.137344,267.083038,280.995392,35.106262,10.319122,286.850800
87,0.174000,28.116608,-101.135567,157.579453,24.132772,267.080872,280.997711,35.105659,10.319568,286.850494
88,0.176000,28.118053,-101.136559,157.575775,24.132975,267.081909,281.000885,35.107471,10.316023,286.849854
89,0.178000,28.115292,-101.134476,157.578369,24.134315,267.082581,280.992096,35.106411,10.319713,286.849426
90,0.180000,28.120087,-101.134605,157.576340,24.130846,267.081573,280.997467,35.105907,10.318787,286.852142
91,0.182000,28.116968,-101.135170,157.579605,24.130573,267.080872,280.995941,35.107307,10.316413,286.851532
92,0.184000,28.117540,-101.133965,157.582199,24.136961,267.081573,280.997986,35.112076,10.315947,286.849792
93,0.186000,28.115679,-101.133293,157.579269,24.135086,267.082520,280.996674,35.101337,10.314172,286.856995
94,0.188000,28.114471,-101.131516,157.579529,24.133507,267.081848,280.999023,35.101254,10.319947,286.850128
95,0.190000,28.112890,-101.135460,157.579788,24.131430,267.080414,280.997620,35.099529,10.323812,286.845825
96,0.192000,28.115349,-101.134521,157.582275,24.130451,267.082458,280.996063,35.106052,10.316285,286.854065
97,0.194000,28.113482,-101.134781,157.580093,24.135237,267.084473,280.994995,35.098446,10.317218,286.849335
98,0.196000,28.112476,-101.133224,157.577454,24.133564,267.082672,280.999603,35.103909,10.314765,286.851044
99,0.198000,28.116674,-101.136719,157.582504,24.134911,267.081024,280.997162,35.101257,10.317812,286.851837
100,0.200000,28.118773,-101.136269,157.580856,24.132357,267.081268,280.997589,35.099060,10.318731,286.855774
101,0.202000,28.117336,-101.135132,157.579971,24.133333,267.080872,280.992615,35.104218,10.319474,286.849274
102,0.204000,28.115126,-101.136467,157.581497,24.132542,267.082153,280.995270,35.099728,10.318948,286.848999
103,0.206000,28.113783,-101.132126,157.577911,24.132217,267.082306,280.997589,35.104218,10.315550,286.853577
104,0.208000,28.112158,-101.135040,157.579300,24.133226,267.085632,280.998535,35.102711,10.317519,286.849915
105,0.210000,28.111658,-101.132751,157.581726,24.132812,267.079712,280.993561,35.103485,10.319056,286.850281
106,0.212000,28.113806,-101.133255,157.579056,24.132648,267.083588,280.995544,35.104820,10.314826,286.848267
107,0.214000,28.116829,-101.133293,157.578766,24.134920,267.084930,281.000244,35.100578,10.316381,286.852051
