Format Version,1.23,Take Name,Take 2023-06-26 02.53.05 PM,Take Notes,,Capture Frame Rate,500.000000,Export Frame Rate,500.000000,Capture Start Time,2023-06-26 02.53.05.576 PM,Capture Start Frame,1604334,Total Frames in Take,6959,Total Exported Frames,6959,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1572,Unlabeled 1572,Unlabeled 1572,Unlabeled 1573,Unlabeled 1573,Unlabeled 1573,Unlabeled 1574,Unlabeled 1574,Unlabeled 1574,Unlabeled 1575,Unlabeled 1575,Unlabeled 1575
,ID,"658549E3878145B11EE","658549E3878145B11EE","658549E3878145B11EE","659549E3878145B11EE","659549E3878145B11EE","659549E3878145B11EE","65A549E3878145B11EE","65A549E3878145B11EE","65A549E3878145B11EE","65B549E3878145B11EE","65B549E3878145B11EE","65B549E3878145B11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
53,0.106000,28.121853,-101.122955,157.528305,23.749817,266.896881,281.186920,-1362.099731,224.006332,802.830322,35.082771,10.188923,286.893158
54,0.108000,28.121367,-101.126190,157.527252,23.750298,266.896942,281.187866,-1362.096069,224.012863,802.832825,35.080761,10.184181,286.887909
55,0.110000,28.120197,-101.127434,157.521469,23.750061,266.896362,281.189789,-1362.113037,224.009735,802.850586,35.079033,10.184995,286.896667
56,0.112000,28.121910,-101.127396,157.528076,23.750877,266.896423,281.190002,-1362.066650,224.019836,802.826111,35.082756,10.189501,286.888672
57,0.114000,28.116936,-101.130127,157.526703,23.751833,266.897644,281.190521,-1362.074707,224.015076,802.819336,35.082108,10.188423,286.894684
58,0.116000,28.117220,-101.122353,157.526825,23.752426,266.898438,281.191833,-1362.100464,224.003342,802.849670,35.080261,10.184739,286.895874
59,0.118000,28.118727,-101.126549,157.529221,23.751101,266.896698,281.191864,-1362.084351,224.011703,802.840271,35.083347,10.177911,286.898071
60,0.120000,28.120564,-101.125221,157.527405,23.753435,266.897186,281.194824,-1362.072754,224.014084,802.820801,35.081665,10.180673,286.898956
61,0.122000,28.117327,-101.127327,157.525665,23.752571,266.894073,281.193024,-1362.090454,224.009216,802.845642,35.077095,10.185946,286.898193
62,0.124000,28.118885,-101.125710,157.528717,23.751081,266.898102,281.192627,-1362.076416,224.017929,802.824219,35.077869,10.187711,286.896393
63,0.126000,28.122885,-101.128059,157.530167,23.749998,266.895782,281.187592,-1362.070068,224.009598,802.813843,35.086834,10.187328,286.893494
64,0.128000,28.122892,-101.127228,157.525986,23.749680,266.893280,281.190552,-1362.072876,224.016159,802.826782,35.083050,10.188032,286.889069
65,0.130000,28.122498,-101.122444,157.528992,23.753553,266.896393,281.191864,-1362.062988,224.017960,802.822083,35.082176,10.190851,286.888855
66,0.132000,28.119661,-101.125900,157.525742,23.751701,266.898346,281.188446,-1362.048828,224.013809,802.805298,35.079128,10.186623,286.895935
67,0.134000,28.118256,-101.124733,157.528107,23.752533,266.897278,281.193481,-1362.063477,224.018127,802.812988,35.085102,10.185296,286.892914
68,0.136000,28.116837,-101.126266,157.529022,23.751945,266.895966,281.188660,-1362.089111,224.008820,802.835754,35.088036,10.184131,286.894714
69,0.138000,28.118303,-101.122131,157.528976,23.751877,266.899170,281.190063,-1362.062378,224.012451,802.819946,35.082752,10.180625,286.893921
70,0.140000,28.118383,-101.123596,157.528168,23.753748,266.896912,281.190521,-1362.051147,224.017838,802.823914,35.081367,10.181674,286.896088
71,0.142000,28.123680,-101.125061,157.529572,23.750998,266.896271,281.194824,-1362.063843,224.013458,802.831177,35.081013,10.184185,286.895111
72,0.144000,28.120804,-101.126793,157.529800,23.751881,266.895935,281.189240,-1362.062622,224.006760,802.826172,35.075859,10.186275,286.900543
73,0.146000,28.118443,-101.122353,157.526169,23.752544,266.896423,281.194855,-1362.056763,224.013351,802.820068,35.081928,10.185031,286.889984
74,0.148000,28.120916,-101.125465,157.526886,23.752522,266.897247,281.192261,-1362.058350,224.010086,802.824768,35.077667,10.189752,286.890594
75,0.150000,28.118862,-101.125069,157.529251,23.750555,266.897980,281.188812,-1362.053955,224.013809,802.825134,35.079636,10.186902,286.894958
76,0.152000,28.119633,-101.119896,157.523407,23.750412,266.897308,281.189911,-1362.040161,224.019394,802.804016,35.081379,10.194367,286.889160
77,0.154000,28.121363,-101.124138,157.527145,23.754955,266.898773,281.192474,-1362.041016,224.012100,802.812927,35.083546,10.192977,286.889648
78,0.156000,28.117289,-101.122581,157.528458,23.750450,266.896606,281.189301,-1362.026733,224.013229,802.795593,35.077187,10.188095,286.893890
79,0.158000,28.121208,-101.124092,157.524826,23.752359,266.897034,281.189117,-1362.014038,224.013901,802.790710,35.084229,10.185585,286.896088
80,0.160000,28.119583,-101.124954,157.526764,23.755087,266.896698,281.190521,-1362.019287,224.018219,802.795654,35.082581,10.180461,286.896179
81,0.162000,28.123785,-101.126755,157.526855,23.752272,266.895477,281.189758,-1362.039917,224.001801,802.822510,35.082848,10.181674,286.899078
82,0.164000,28.120832,-101.124283,157.529816,23.750183,266.897552,281.194122,-1362.018066,224.010254,802.807251,35.086540,10.189375,286.892334
83,0.166000,28.122969,-101.126297,157.532684,23.751375,266.892975,281.190918,-1362.012207,224.012146,802.811768,35.085091,10.183694,286.893219
84,0.168000,28.123169,-101.125565,157.526016,23.753798,266.899231,281.191956,-1361.995972,224.006470,802.788879,35.083637,10.185314,286.893890
85,0.170000,28.122561,-101.127029,157.526428,23.750425,266.895508,281.191040,-1362.003540,224.016174,802.808472,35.086964,10.186803,286.892181
86,0.172000,28.124424,-101.125153,157.529007,23.754084,266.896667,281.191162,-1361.980103,224.023407,802.787109,35.086723,10.187776,286.888367
87,0.174000,28.124172,-101.124535,157.525330,23.749537,266.897522,281.192200,-1361.968872,224.022324,802.769470,35.082710,10.190066,286.892975
88,0.176000,28.121286,-101.123947,157.528778,23.751760,266.894958,281.190338,-1361.962769,224.010651,802.767822,35.077312,10.188177,286.892761
89,0.178000,28.116112,-101.122284,157.529938,23.752110,266.896973,281.191742,-1361.964966,224.020691,802.767273,35.086670,10.187461,286.891113
